Artillery Company of Newport,"23 Clark Street
", 803-432-9841,, hiscamden@truvista.net, www.historic-camden.net/,"Archaeology,Culture,History,Historic House,Library,Military,,Services,Gift ShopSpecial Event Rental,Cafe/Restaurant,","Joanna Craig, Director",phone: 803-432-9841,e-mail: hiscamden@truvista.net,,
Historic Charleston Foundation:  Aiken-Rhett House,"48 Elizabeth Street
Charleston, SC 29403
", 843-723-1159,, krobinson@historiccharleston.org, www.historiccharleston.org/experience/arh/,"History,","Katherine Robinson, Executive Director",phone: 843-724-8481,e-mail: krobinson@historiccharleston.org,,
Historic Charleston Foundation:  Nathaniel Russell House,"51 Meeting Street
Charleston, SC 29401
",,,,,"History,","Judy Middleton, Administrator",phone: 843-724-8483,,
Historic Charleston Foundation:  Powder Magizine,"51 Meeting Street
Charleston, SC 29401
",,,,,"History,","Katherine Robinson, Director",phone: 843-724-8481,,
Historic Columbia Foundation,"1616 Blanding Street
Columbia, SC 29201
",,,, www.historiccolumbia.org,"History,","Robin Waites, Executive Director",phone: 803-252-7742,e-mail: rwaites@historiccolumbia.org,,
Historic Greenville Foundation,"123 West Broad Street
Greenville, SC 29601
",,,,,"History,","Ed Ritts, Executive Director",phone: 864-467-3100,,
Historical Center of York County,"212 East Jefferson Street
York, SC 29745
", 803-684-7262,,,,"History,Specialized,",,
Historical Ninety-Six Development Commission: Museum and Visitor Center,"120 NW Main St
Ninety Six, SC 29666
", 864-543-2200, 864-543-4304, info@townofninetysixsc.com, www.townofninetysixsc.com/historic-96/historic-96-development-association/,,"Carolyn Cox, Manager",phone: 864-543-4820,,
Hobcaw Barony Visitor Center,"22 Hobcaw Road
Georgetown, SC 29440
", 843-546-4623, 843-545-7231, hobcaw@belle.baruch.sc.edu, www.hobcawbarony.org/,,"George Chastain, Executive Director",e-mail: chastain@belle.baruch.sc.edu,,
Home of Peace-Thornwell Home for Children,"Clinton, SC 29325
",,,,,"Children's,","Dr. Zane Moore, President",,,
Hopsewee Plantation,"494 Hopsewee Road
Georgetown, SC 29440
", 843-546-7891,,, www.hopsewee.com/,,"Helen Maynard, Director",phone: 843-546-7891,,
Horry County Museum,"428 Main Street
Conway, SC 29569
", 843-915-5320, 843-248-1854, HCGmuseum@horrycounty.org, www.horrycountymuseum.org,"History,Natural History,","Walter Hill, Director",e-mail: hillr@horrycounty.org,,
Howell Memorial Planetarium,"Wade Hampton Boulevard
Greenville, SC 29614
",,,,,"Planetarium,","Dr. Stewart Custer, Director",phone: 864-242-5100,,
Hunting Island State Park,"2555 Sea Island Parkway
Saint Helena Island, SC 29920
", 843-838-2011, 843-838-4263, huntingisland@scprt.com, www.huntingisland.com/,"Park,","Ray Stevens, Park Manager",phone: 843-838-4868,,
Huntington Beach State Park/Atalaya,"16148 Ocean Highway
Murrells Inlet, SC 29576
",,,,,"Park,","Keith Windham, Park Manager",phone: 843-237-4440,,
I. P. Stanback Museum,"301 College Street, NE
Orangeburg, SC 29117
",,,,,,"Frank Martin, Curator",,,
Jacob Kelly House Museum,"104 Hewitt Street
Darlington, SC 29532
",,,,,,"Horace Rudisill, County Historian",phone: 843-398-4710,,
James Dunklin House,"2009 Lakeview Drive
Laurens, SC 29360
",,,,,,"Shawn Brown, Manager",phone: 864-984-4735,,
James W. Dillon House Museum,"Dillon, SC 29536
",,,,,"Historic House,","James R. Usher, Contact Person",phone: 843-774-9051,,
John Rivers Communications Museum,"58 George Street
Charleston, SC 29401
",,,,,,"Cathy Evans, Director/Curator",phone: 843-953-5810,,
Joseph-Manigault House,"360 Meeting Street
Charleston, SC 29401
",,,,,"Historic House,","Dr. John Brumgardt, Director",phone: 843-722-2996,,
Kalmia Gardens,"1624 West Carolina Avenue
Hartsville, SC 29550
", 843-383-8145, 843-383-8149, kalmia@coker.edu, www.kalmiagardens.org/,"Botanical Garden,","Mary Ridgeway, Director",e-mail: mridgeway@coker.edu,,
Kaminski House Museum,"1003 Front St
Georgetown, SC 29442
", 843-546-7706,,, www.kaminskihousemuseum.org/,"Historic House,",,
Keowee-Toxaway State Park,"108 Residence Drive
Sunset, SC 29685
",,,,,"Park,","Joel M. Copeland, Park Manager",phone: 864-868-2605,,
Kershaw County Historical Society,"811 Fair Street
Camden, SC 29020
", 803-425-1123,, kchistory@camden.net, www.kershawcountyhistoricalsociety.org/,"Historical Society,","Kathleen P. Stahl, Secretary",phone: 803-425-1123,,
Kings Mountain National Military Park,"2625 Park Road
Blacksburg, SC 29702
", 864-936-7921,,, www.nps.gov/kimo/index.htm,"Park,",,
Kings Mountain State Park,"1277 Park Road
Blacksburg, SC 29702
", 803-222-3209, 803-222-6948,, www.southcarolinaparks.com/kingsmountain/introduction.aspx,"Park,","Lew Cato, Park Manager",phone: 803-222-3209,,
Landsford Canal State Park,"2051 Park Drive
Catawba, SC 29704
", 803-789-5800,, landsfordcanal@scprt.com, www.southcarolinaparks.com/landsfordcanal/introduction.aspx,"Park,","Joseph S. Anderson, Park Manager",phone: 803-789-5800,,
Lexington County Museum,"231 Fox Street
Lexington, SC 29072
", 803-359-8369,, JRFennell@lex-co.com, www.lex-co.com/museum,"History,Historic House,Library,,Services,Gift Shop,","J.R. Fennell, Director",phone: 803-359-8369,e-mail: JRFennell@lex-co.com,"Bonnie Hix, Visitor Services Coordinator",e-mail: Museum@lex-co.com,,
Lunney Museum,"211 West South First Street
Seneca, SC 29678
", 864-882-4811,,,,"History,","Judy Havice, Director",phone: 864-882-4811,,
Macaulay Museum of Dental History & Waring Historical Library,"175 Ashley Avenue
Charleston, SC 29425
",,,, waring.library.musc.edu,"History,Library,Science,Specialized,",,
Magnolia Dale,"Edgefield, SC 29824
",,,,,,,
Magnolia Plantation and Gardens,"3550 Ashley River Road
Charleston, SC 29414
", 800-367-3517,, tours@magnoliaplantation.com, www.magnoliaplantation.com/,"History,",,
Mann-Simons Cottage,"1403 Richland Street
Columbia, SC 29201
", 803-252-1770,, aposner@historiccolumbia.org,,"History,",,
Marion County Museum,"101 Willcox AVE
Marion, SC 29571
", 843-423-8299,,, www.marionsc.org/Musem,,"Tim Harper, Administrator",e-mail: tharper@marionsc.org,,
Marlboro County Historical Society,"Bennettsville, SC 29512
",,,,,"Historical Society,","Lucille Carabo, Director",phone: 843-479-5624,,
McCelvey Center,"212 East Jefferson Street
York, SC 29745
",,,, www.chmuseums.org/calendar/mccelvey.htm,"History,Specialized,","Liz Funderburk, Site Manager",phone: 803-684-3948,e-mail: lifunderburk@comporium.net,,
McCormick Arts Council at the Keturah,"115 South Main Street
McCormick, SC 29835
", 864-852-3216, 864-852-3217, marts@wctel.net,,"Art,Culture,Historic House,Park,","Janice J. Grizzard, Executive Director",,"Lou Jennings, Administrative Assistant",,,
McKissick Museum,"University of South Carolina
Columbia, SC 29208
", 803-777-7251, 803-777-2829, mckscal@mailbox.sc.edu, www.cas.sc.edu,"History,","Lynn Roberston, Director",phone: 803-777-7251,"Melanie Neil, Advancement and Curatorial Assistant ",,,
Medical Leech Museum,"329 East Bay Street
Charleston, SC 29401
",,,,,"History,","Martha Lee Brailsford, Manager",phone: 843-577-9143,,
Middleton Place Foundation,"4300  Ashley River Road
Charleston, SC 29414
", 843-556-6020,, info@middletonplace.org, https://www.middletonplace.org/,,,
"Milliken Gallery, Converse College","580 East Main Street
Spartanburg, SC 29302
",,,,,"Art,","Mac Boggs, Director",phone: 864-585-9177,,
Miniature World of Trains,"2801 Wade Hamtpon Blvd
Greenville, SC 29687
", 864-704-8314,, contactus@miniatureworldoftrains.com, miniatureworldoftrains.com,"General,History,Science,Specialized,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","Frank Ruby, Director Of Operations",phone: 864-704-8314,e-mail: fcruby@miniatureworldoftrains.com,"Ed Eichelberger, Director Of Construction",e-mail: edeichelberger@miniatureworldoftrains.com,"Ed Krech, Director Of Model Building, Project Architect",e-mail: edkrech@miniatureworldoftrains.com,"James Brookey, Secretary/Director Of Facilities",e-mail: brookey@miniatureworldoftrains.com,"Mike Jensen, Director Of IT / DCC",e-mail: mikejensen@miniatureworldoftrains.com,,
"Monsanto Gallery, Lander University","Lander University
Greenwood, SC 29646
", 864-388-8810,, ewohlfor@lander.edu, www.lander.edu/en/Monsanto-Art-Gallery/Overview.aspx,"University,","Eve Walling Wohlford, Director",phone: 864-388-8810,e-mail: ewohlfor@lander.edu,,
Mullins Tobacco Museum and Farmer's Market,"Mullins, SC 29574
", 843-464-8194,, cityofmullins@mullinssc.us, www.mullinssc.us/sctobaccomuseumindex.html,,,
Museum and Library of Confederate History,"15 Boyce Avenue
Greenville, SC 29601
", 864-421-9039,, confedmuseum@att.net, www.confederatemuseum.org,"Culture,General,History,Library,Military,",,
Museum of Education,"Wardlaw Hall, University of South Carolina
Columbia, SC 29208
", 803-777-5741,, museumofeducation@sc.edu, www.ed.sc.edu/museum/,"History,","Dr. Craig Kridel, Curator",phone: 803-777-5741,e-mail: craig@sc.edu,,
Museum of York County,"4621 Mount Gallant Road
Rock Hill, SC 29732
", 803-329-2121, 803-329-5249, scrotts@chmuseums.org, www.chmuseums.org,"General,","Harry Exell, Interim Director",e-mail: hexell@chmuseums.org,"Elaine Lavender, Assistant to the Director",e-mail: elavender@chmuseums.org,,
Museum on The Common,"510 Mill Street
Mount Pleasant, SC 29464
",,,,,,"Lou Edens, Director",phone: 843-849-9000,,
The Museum,"106 Main St
Greenwood, SC 29648
", 864-229-7093,,,,"History,","M. Lyda Carroll, Executive Director",phone: 864-229-7093,,
Myrtle Beach State Park,"4401 South Kings HWY
Myrtle Beach, SC 29577
", 843-238-5325,, myrtlebeach@scprt.com,,"Park,","Robert Turner, Park Manager",phone: 843-238-5325,,
National Wild Turkey Federation,"770 Augusta Road
Edgefield, SC 29824
", 803-637-3106,, info@nwtf.net, www.nwtf.org,"Science,","Rachel Seltzner, Museum Coordinator",phone: 803-637-3106,,
Neeses Farm Museum,"6449 Savannah HWY
Neeses, SC 29107
", 803-247-5811,,,,"History,","Sonja Gleaton, Curator",phone: 803-247-5811,,
Newberry Arts Center,"125 Colonial Drive
Whitmire, SC 29178
",,,,,"Art,",Gail O'Brien,phone: 864-694-2809,,
Ninety-Six National Historic Site,"1103 Hwy 248
Ninety Six, SC 29666
", 864-543-4068, 864-543-2058,, www.nps.gov/nisi/index.htm,"History,","Eric Williams, Curator/Historian",phone: 864-543-4068,,
Nostalgia City and Museum,"1911 S Kings HWY
Myrtle Beach, SC 29577
", 843-222-2878,, yvakin@msn.com, www.nostalgiacityandmuseum.com,"General,History,","Paul Ouvakine, Assistant Manager",e-mail: yvakin@msn.com,,
Oakley Park Museum,"300 Columbia Road
Edgefield, SC 29824
", 803-637-4027,,,,"Park,","Diane Timmerman, Director",phone: 803-637-4027,,
Oconee State Park,"624 State Park Road
Mountain Rest, SC 29664
",,,, oconeecountry.com/oconeestatepark.html,"Park,","Andy Davis, Park Manager",phone: 864-638-5353,,
Old Dorchester State Historic Site,"300 State Park Road
Summerville, SC 29485
",,,,,"History,","Ty Houck, Park Manager",phone: 843-873-1740,,
Old Edgefield District Archives,"Edgefield, SC 29824
", 803-637-4010,, OEDGS85@gmail.com, www.oedgs.org/,"History,","J. Douglas Timmerman, President",,,
Old Edgefield District Museum,"Edgefield, SC 29824
",,,,,"History,",,
Old Exchange and Provost Dungeon,"122 East Bay Street
Charleston, SC 29401
", 843-727-2165,, Youmanst@charleston-sc.gov, oldexchange.org/,"History,","Tony Youmans, Director",phone: 843-727-2165,e-mail: Youmanst@charleston-sc.gov,"Kathryn Hernandez, Event Coordinator",e-mail: Hernandezk@Charleston-sc.gov,,
Old Salley School Museum,"218 Pine Street
Salley, SC 29137
",,,,,"History,","H. N. Salley, Contact Person",phone: 803-258-3306,,
Old Santee Canal Park,"Moncks Corner, SC 29461
",,,, www.oldsanteecanalpark.org,"History,Historical Society,Natural History,Nature Centers,","Mary S Bell, Education Coordinator",phone: 843-899-5200,e-mail: msbell@santeecooper.com,,
Old Town Hall Museum,"12 West Main
Andrews, SC 29510
", 803-264-3471,,,,"History,",,
Orangeburg County Historical Society,"1421 Middleton St
Orangeburg, SC 29115
", 803-535-0022, 877-885-8830, ochs@orangeburgh.org, www.orangeburgh.org,"Cemetery,History,Historical Society,Library,,Services,Group Tours,","Lawton H Salley, MD, Director Pro Tem",e-mail: lsalley@orangeburg.org,"L. Wayne Hughes, Volunteer",,"Ann Ji Salley, Volunteer",,"Marion Shuler, Treasurer",,"Eric Powell, Volunteer, Corresponding Secy",e-mail: eric@orangeburgh.org,"Gene Atkinson, DDS, President",,"Curt Campbell, Past President",,,
Parris Island Museum,"Commanding General, ATTN MUS, MCRD ERR, Box 19001
Parris Island, SC 29905
",,,,,"History,","Stephen Wise, Director",phone: 843-525-2951,,
Patriots Point Naval and Maritime Museum,"40 Patriots Point Road
Mount Pleasant, SC 29464
", 843-881-5922, 843-881-4232,, www.patriotspoint.org,"History,Military,","David Burnette, Executive Director",,,
Pauline Pratt Webel Museum,"451 B East Wilson St
Ridgeland, SC 29936
",,,,,"History,","Curtis L. Smart, Contact Person",phone: 843-726-8126,,
Pendleton District HRT Commission:Agricultural Museum,"US Hwy 76
Pendleton, SC 29670
",,,,,"History,","Hurley E. Badders, Executive Director",phone: 864-646-3782,,
Pendleton Historic Foundation,"2725 Old Greenville Hwy
Pendleton, SC 29670
", 864-646-7249,, info@pendletonhistoricfoundation.org, www.pendletonhistoricfoundation.org,"General,History,Historic House,Historical Society,","Les Mccall, Executive Director",,,
Penn Center,"Saint Helena Island, SC 29920
", 843-838-2432, 843-848-8545, info@penncenter.com, www.penncenter.com/,"History,","Walter Mack, Executive Assistant",e-mail: wmack@penncenter.com,"Rosalyn Browne, Director of History and Culture",e-mail: rbrowne@penncenter.com,,
Pickens County Historical Society,"Pickens, SC 29671
",,, pickenscohistory@gmail.com, pickenscountyhistoricalsociety.com/,"Historical Society,","Julie Lark, President",phone: 864-855-2668,,
Pickens County Museum of Art and History,"307 Johnston Street
Pickens, SC 29671
", 864-898-5963,,,,"Art,","C. Allen Coleman, Director",phone: 864-898-5963,,
Poinsett State Park,"6660 Poinsett Park Road
Wedgefield, SC 29168
", 803-494-8177,, poinsett@scprt.com, www.southcarolinaparks.com/poinsett/introduction.aspx,"Park,","Mary Crockett, Park Manager",phone: 803-494-8177,,
Pottersville Museum,"Edgefield, SC 29824
",,,,,,"R. T. McClendon, Owner",phone: 803-637-3333,,
The Powder Magazine,"79 Cumberland St.
Charleston, SC 29401
", 843-722-9350,, info@powdermag.org, powdermag.org,"Culture,History,Historic House,Historical Society,Military,,Services,Gift ShopOnline Gift Shop,Group Tours,","Alan Stello, Director",e-mail: info@powdermag.org,"John Young, Assistant Director",e-mail: john@powdermag.org,"Chelsy Proper, Historical Intepreter",e-mail: chelsy@powdermag.org,"Mike Coker, Media Manager",e-mail: mike@powdermag.org,,
Railroad Historical Center,"908 S Main ST
Greenwood, SC 29648
",,,,,,"Angelle P. Adams, Director",phone: 864-229-5813,,
Redcliffe State Historic Site,"181 Redcliffe Road
Beech Island, SC 29842
", 803-827-1473,, redcliffe@scprt.com,,,"Fielding Freed, Park Manager",phone: 803-827-1473,,
REVIVA -- Iva Community Improvement Association,"Iva, SC 29655
",,,,,"History,","Yvonne B. McGee, Coordinator",,,
Rice Museum,"Georgetown, SC 29442
",,,,,"History,","James A. Fitch, Director",phone: 843-546-7423,,
Richland County Historical Preservation Commission,"1616 Blanding Street
Columbia, SC 29201
",,,,,,"Nancy Vodry, Director",phone: 803-252-3964,,
Richland County Public Library,"1431 Assembly Street
Columbia, SC 29201
", 803-799-9084,,, www.richland.lib.sc.us,"Library,",,
Riverbanks Zoological Park and Botanical Gardens,"Columbia, SC 29202
",,,, www.riverbanks.org/,"Botanical Garden,","Palmer Krantz, Director",phone: 803-779-8717,,
Rock Hill Arts Center,"Rock Hill, SC 29731
",,,,,"Art,","Vickie Huggins Cook, Executive Director",phone: 803-328-2787,,
Rock Hill Telephone Company Museum,"117 Elk Avenue
Rock Hill, SC 29731
",,,,,,,
Roper Mountain Science Center,"402 Roper Mountain Road
Greenville, SC 29615
", 864-355-8900,, education@ropermountain.org, www.ropermountain.org/,"Anthropology,Arboretum,Archaeology,Botanical Garden,Children's,History,Library,Natural History,Nature Centers,Park,Planetarium,Science,Specialized,Zoo,,Services,Special Event Rental,","Greg Cornwell, Director",phone: 864-355-8905,e-mail: gcornwel@greenville.k12.sc.us,"Stacy Fleming, Secretary/Receptionist",phone: 864-355-8901,,
Rose Hill Plantation State Historic Site,"2677 Sardis Road
Union, SC 29379
", 864-427-5966,, rosehill@scprt.com, www.southcarolinaparks.com/rosehill/introduction.aspx,"History,","Brenda Majers-Strole, Park Manager",phone: 864-427-5966,,
"Rudolph E. Lee Gallery, Clemson University","Clemson University, Lee Hall
Clemson, SC 29634
",,,, www.clemson.edu/centers-institutes/cva/,"University,","David Houston, Director",phone: 864-656-3883,,
Ruth Drake Museum,"108 Carroll Lane
Belton, SC 29627
",,,,,"History,","C. B. Martin, Chariman",phone: 864-338-7541,,
Saluda Historical Museum,"105 Law Range
Saluda, SC 29138
", 864-445-8550,,,,"History,",,
Santee National Wildlife Refuge,"2125 Fort Watson Road
Summerton, SC 29148
", 803-478-2217, 803-478-2314, santee@fws.gov, www.fws.gov/santee/,"Arboretum,Archaeology,History,Natural History,Nature Centers,Park,","Susan Heisey, Visitor Services Manager",phone: 803-478-2217,e-mail: susan_heisey@fws.gov,,
Savannah River Archaeological Research,"New Ellenton, SC 29809
",,,,,"History,","Mr. Robert Moon, Outreach Coordinator",phone: 803-725-3623,e-mail: rmoon@srarp.org,,
